Moeda,Codigo,USD1Unidade,Unidades1USD
Francoandorrano,ADF,0.1716,5.8272
Pesetaandorrana,ADP,0.006766,147.809
DirhamdosEAU,AED,0.2723,3.6739
Afeganistão-Afghani,AFN,0.01442,69.57
LekdaAlbânia,ALL,0.008251,124.023
Arménia-Dram,AMD,0.002093,477.91
FlorimdasAntilhasNL,ANG,0.5618,1.82
Kwanzaangolana,AON,0.006058,166.71
Pesoargentino,ARS,0.07195,13.9076
Áustria-Xelim,ATS,0.08182,12.224
Dólaraustraliano,AUD,0.7388,1.3539
FlorimdeAruba,AWG,0.5587,1.81
Azerbaijão-Manat,AZM,0.0001318,7590
Azerbaijão-Manatnovo,AZN,0.6588,1.518
Bósnia-Marco,BAM,0.5757,1.7375
DólardeBarbados,BBD,0.5,2
Takabengali,BDT,0.01302,80.0004
Bélgica-Franco,BEF,0.02791,35.836
Levbúlgaro,BGN,0.5783,1.7456
DinardoBarém,BHD,2.6705,0.3797
FrancodoBurundi,BIF,0.0006473,1598.53
DólardasBermudas,BMD,1,1
DólardoBrunei,BND,0.7542,1.3703
Pesoboliviano,BOB,0.1493,7.0537
Realbrasileiro,BRL,0.2899,3.4563
DólardasBaamas,BSD,1.0041,1.0084
Ngultrumbutanês,BTN,0.01489,67.1718
Pulabotsuana,BWP,0.09193,11.1613
Bielorrússia-Rublobielorrusso,BYR,5.021e-05,20003.6
DólardoBelize,BZD,0.5099,2.0502
Dólarcanadiano,CAD,0.7747,1.2911
Congo-Kinshasa-Francocongolês,CDF,0.001069,975.033
Francosuíço,CHF,1.0388,0.9629
Francosuíço,CHF,1.0388,0.9629
Pesochileno,CLP,0.001473,692.489
YuanRenmimbichinês,CNY,0.1518,6.5905
Pesocolombiano,COP,0.0003372,3015.16
ColóndaCostaRica,CRC,0.001889,554.311
Cuba-ConvertiblePeso,CUC,1,1
Pesocubano,CUP,0.045,23.1481
EscudodeCaboVerde,CVE,0.01022,98.7574
Chipre-Libra,CYP,1.9236,0.5199
Chéquia-Coroa,CZK,0.0416,24.0503
Alemanha-Marco,DEM,0.5756,1.7375
FrancodeJibuti,DJF,0.00566,178.956
Coroadinamarquesa,DKK,0.1514,6.6056
Pesodominicano,DOP,0.02201,46.252
Dinarargelino,DZD,0.009112,110.627
Sucreequatoriano,ECS,4.15e-05,25587
Coroaestónia,EEK,0.07195,13.8997
Libraegípcia,EGP,0.1129,8.9019
Espanha-Peseta,ESP,0.006766,147.809
Birretíope,ETB,0.04647,22.1217
Euro,EUR,1.1258,0.8884
Euro,EUR,1.1258,0.8884
Euro,EUR,1.1258,0.8884
Euro,EUR,1.1258,0.8884
Euro,EUR,1.1258,0.8884
Euro,EUR,1.1258,0.8884
Euro,EUR,1.1258,0.8884
Euro,EUR,1.1258,0.8884
Euro,EUR,1.1258,0.8884
